X,logFC,AveExpr,t,P.Value,adj.P.Val,B
SORBS3,0.431963924,7.249623802,1.452122187,0.1614167,0.998285169,-4.519742022
BPNT2,0.302902465,6.729094037,1.429033656,0.167195865,0.998285169,-4.519888124
TXNDC12,0.392135118,7.53881158,1.428736645,0.167280292,0.998285169,-4.519953305
ERC1,0.274286266,6.396054561,1.439999065,0.164780691,0.998285169,-4.520109771
IL1RAP,0.582346313,7.640779709,1.479228434,0.154847833,0.998285169,-4.5203248
NMRAL1,0.313814669,8.460757458,1.408913964,0.172378621,0.998285169,-4.520554698
ECPAS,-0.317592479,5.788046829,-1.460385395,0.159904691,0.998285169,-4.520580391
CISD1,0.833391358,5.933174249,1.458348149,0.160459392,0.998285169,-4.520985901
PRMT5,-0.298859789,8.145012168,-1.405023185,0.173518653,0.998285169,-4.521451993
TNPO2,-0.360595905,6.423317449,-1.432185799,0.16697863,0.998285169,-4.521762378
PSMD3,-0.248969983,7.250354503,-1.403641353,0.173924985,0.998285169,-4.52177025
PSMF1,0.265575865,7.993887158,1.440079974,0.164758053,0.998285169,-4.522219259
MTURN,-0.84361914,6.941072046,-1.426372232,0.168629333,0.998285169,-4.522319511
EPYC,0.382271991,9.126256149,1.400535192,0.17484113,0.998285169,-4.522484835
PSMD6,-0.462742427,6.686849465,-1.416019218,0.170927534,0.998285169,-4.5227355
CS,-0.43732968,6.963409583,-1.414737357,0.17129867,0.998285169,-4.523014983
EIF3L,-0.277723864,6.593903861,-1.392346129,0.177274871,0.998285169,-4.524363369
AP3D1,0.195654325,7.150302974,1.407617274,0.173371902,0.998285169,-4.524564183
GSTO1,-0.272213927,10.343255,-1.3903839,0.177862014,0.998285169,-4.52481233
CD5L,0.56868489,7.356187736,1.453894128,0.161677589,0.998285169,-4.525133743
RPL15,-0.324858037,10.36825047,-1.387944368,0.17859413,0.998285169,-4.525369869
BZW1,-0.175193692,7.182227774,-1.387341026,0.178775564,0.998285169,-4.52550765
RIT1,0.753659662,8.88934037,1.478186642,0.156876994,0.998285169,-4.525587899
BLVRB,-0.347467075,9.831830964,-1.386155143,0.179132604,0.998285169,-4.525778339
S100A2,0.848302504,5.649818082,1.588902236,0.134793253,0.998285169,-4.526615134
RAB5C,-0.304348705,7.108909118,-1.382244318,0.180314065,0.998285169,-4.526669846
CCDC134,0.438619965,4.942540564,1.507437009,0.1514848,0.998285169,-4.527631729
CHID1,-0.254372459,7.668656973,-1.377706421,0.181692696,0.998285169,-4.527702037
CSNK2B,0.217259921,6.433475485,1.37654907,0.182045635,0.998285169,-4.527964897
LOC100059533,-0.240490373,11.80967777,-1.375967143,0.182223302,0.998285169,-4.528097006
FARSB,-0.228910721,8.369542585,-1.374707267,0.18260842,0.998285169,-4.528382886
LOC100062210,0.339796479,4.963519041,1.451290699,0.164137163,0.998285169,-4.528401206
PHIP,0.452168133,5.346212104,1.518710783,0.148643667,0.998285169,-4.528588524
A0A3Q2H7D9,-0.538334164,5.775762279,-1.402590933,0.17551902,0.998285169,-4.529842784
CCT6B,0.297574176,7.246932853,1.377837882,0.182261245,0.998285169,-4.529946702
CLIC4,-0.248527454,9.917650341,-1.364790657,0.18566224,0.998285169,-4.530626476
TOMM22,-0.97470021,6.105509477,-1.517559979,0.150254263,0.998285169,-4.530679896
CMBL,-0.404176326,9.059040626,-1.363460521,0.186074902,0.998285169,-4.530926521
GOLGA4,0.339353928,5.100716925,1.486544886,0.156869802,0.998285169,-4.530931925
RBM3,-0.643486394,8.181881567,-1.362493391,0.186375399,0.998285169,-4.531144548
LANCL2,0.238301452,7.339901025,1.37467764,0.183225469,0.998285169,-4.531660209
MYBBP1A,-0.269815482,6.735535935,-1.359384633,0.187343914,0.998285169,-4.531844618
CCDC8,0.360024239,6.342136954,1.479933843,0.158606641,0.998285169,-4.531971104
