X,logFC,AveExpr,t,P.Value,adj.P.Val,B
PEF1,-0.519123626,8.193177114,-3.152222708,0.004452035,0.080652414,-2.274535331
GDF15,1.078757561,6.213393273,3.14347802,0.00471163,0.084326816,-2.297012917
RNASEK,-0.583415073,6.452036876,-3.126588944,0.005091702,0.087585967,-2.335066948
GNAI3,-0.682471417,6.883838364,-3.122912722,0.004773489,0.084776251,-2.339491796
CMPK1,-0.564607293,8.80105366,-3.121124414,0.00479381,0.084776251,-2.343447501
ALPL,-0.849850262,5.956744302,-3.115265048,0.005226588,0.088732526,-2.363816145
SPON2,-1.604072643,8.156705144,-3.112636123,0.005064935,0.087585967,-2.364342546
CAB39L,-0.463886968,8.498047585,-3.100294302,0.005036732,0.087585967,-2.389458568
GPNMB,1.259372257,8.655799084,3.100024915,0.005216653,0.088732526,-2.391803475
BUD31,0.767085792,7.572147176,3.097391172,0.005071516,0.087585967,-2.395861667
CHPF2,0.715717531,7.478457927,3.092589439,0.006266934,0.097995051,-2.416653124
SCUBE1,1.044988599,8.002107746,3.073220355,0.005370229,0.090653134,-2.449080463
SUSD5,0.720882133,6.147687231,3.064179087,0.005486257,0.092088524,-2.468944663
P4HA1,-0.489368647,7.881840694,-3.059239136,0.005550666,0.092646223,-2.4797881
H2BC26,1.414411733,10.3894229,3.05619253,0.005988194,0.096583188,-2.490267748
PHGDH,-0.498994124,7.579314568,-3.051992022,0.005646473,0.093377647,-2.495683096
LTBP2,-0.832892518,8.950782624,-3.051176982,0.005657346,0.093377647,-2.497469759
H1-10,0.731769451,12.62434871,3.041444034,0.005788761,0.095018836,-2.51879052
MFAP4,1.010845184,8.180742883,3.039036331,0.006228766,0.097913558,-2.526829745
LOX,-0.751587461,13.56296329,-3.037723494,0.005839766,0.095329373,-2.526933306
SERPINA5,0.902469516,7.552879695,3.034433586,0.006079117,0.096583188,-2.533949252
EPB41L2,-0.569709198,8.019934543,-3.034126763,0.005889484,0.095615617,-2.534801248
NAGA,-0.611093158,7.794249526,-3.021403243,0.006068644,0.096583188,-2.562603497
ETFA,-0.690045324,7.756916766,-3.020874507,0.006076201,0.096583188,-2.563757798
TPI1,-0.677032041,13.12052304,-3.014360321,0.006170051,0.097506495,-2.577972258
FGF7,1.329248786,6.804302816,2.988088922,0.007871739,0.11298037,-2.602124314
SRRM2,-0.568587619,5.912917843,-3.002001555,0.006554744,0.100902296,-2.603797866
GUSB,-0.452916623,7.487422202,-3.002454037,0.006345189,0.098469139,-2.603919663
CPNE1,-0.48260863,9.237142073,-3.001224831,0.006363539,0.098469139,-2.60659603
LAMA4,-0.730619356,9.523311822,-2.978956713,0.006704906,0.101948627,-2.655000626
LASP1,-0.59439625,9.314732169,-2.978937312,0.006705211,0.101948627,-2.655042731
GCA,-0.474295304,7.954312152,-2.97763828,0.006725658,0.101948627,-2.657861734
