"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MMAB",-0.307012564073662,6.43547731461798,-0.848172870004893,0.408118827479261,0.854934279656272,-5.27214607907841
"PHIP",-0.431045099393565,5.34621210428013,-0.710710977990164,0.488926533344883,0.87800295005111,-5.2736818468958
"LONP1",-0.344806661827684,6.76942192126301,-0.985731131571508,0.335481451132485,0.835182620598104,-5.27411093674989
"FBXO2",0.462957018082425,8.63078153486193,0.985548991696855,0.335568776479977,0.835182620598104,-5.27427088037728
"COLGALT2",0.346572921643534,7.89639744120499,0.938221919380585,0.359898653529442,0.83750470618746,-5.27514423963235
"S100A2",-0.655543285193424,5.64981808201108,-0.606132394969004,0.555709814704815,0.897267051376712,-5.27528223586522
"CAB39",-0.353208349239583,6.66494989919124,-0.955779447557354,0.350588952929137,0.83750470618746,-5.27585691660796
"EIF4A2",0.331220625103397,10.7279685347035,0.982705626292251,0.336934038173144,0.835573101427079,-5.27676428546804
"FGFR3",-0.658646562941144,7.24321177034949,-0.883775025263003,0.388463113850687,0.852057774193103,-5.27690937078259
"C7",0.666160301048255,7.89557339317551,0.954021791613696,0.351456215128814,0.83750470618746,-5.27734665573302
"UBE2K",-0.382247446413687,7.35033769163199,-0.953776010961999,0.35157760465419,0.83750470618746,-5.27755477512048
"AGL",-0.428039145609699,6.88445070756537,-0.981726714173116,0.337404954986179,0.835573101427079,-5.27762120916163
"SORBS2",-0.480634198462776,7.80468330368838,-0.95363163523563,0.351648924247855,0.83750470618746,-5.27767700540632
"EEFSEC",0.527381874851081,7.46517302467051,0.980047551754498,0.338213791383769,0.835573101427079,-5.2790893250791
"ARB2A",-0.297928249184824,6.92159176644162,-0.889328014582639,0.385551637281591,0.849485434844442,-5.27916515178217
"TMPO",-0.338828978222124,9.0399693201744,-0.979573841951634,0.338442214191472,0.835573101427079,-5.27950308601012
"STBD1",0.342844476325215,6.29784469689214,0.805333993828409,0.431740806115178,0.854934279656272,-5.27987824844762
"SLC5A3",0.392221401431361,7.23295304390005,0.5556688435637,0.589549704467505,0.906536935904451,-5.28008616564718
"COL15A1",-0.491409824597556,9.69996660822194,-0.978800566703438,0.338815315627676,0.835800633492816,-5.28017811367736
"EXOSC3",0.498717105816464,8.24612253355545,0.779256014319234,0.447195143326319,0.861900551071283,-5.28077978694446
"NPEPL1",-0.280293986667041,6.55090095461621,-0.55781342762046,0.584687930230009,0.905768419862579,-5.28188727941145
"AGFG1",-0.341420390509745,5.28960283012345,-0.59256316631728,0.564463779387811,0.897504186224026,-5.28220053138956
"TBC1D15",0.437853272018548,7.65396767762866,0.92985531554817,0.363528633351784,0.83937217203298,-5.28256520270737
"COPG1",-0.392337919739022,8.78432101013242,-0.974665264248083,0.340815382720781,0.83750470618746,-5.28377983505203
"CSDE1",-0.277621675602813,7.13119538210529,-0.917774878643093,0.370234588733501,0.844021380446105,-5.28468329948039
"TIMM50",-0.181539466421402,6.57872926207556,-0.346580014561226,0.734903239590757,0.946264662245577,-5.28508491153445
"ABI1",0.341472260231604,7.23229334289835,0.972760538523612,0.341739339487179,0.83750470618746,-5.28543415598236
"CTNND1",-0.383684527767081,6.1253185622219,-0.944015453180162,0.356421388548057,0.83750470618746,-5.28578052941648
"TRAPPC3",0.36008823514327,7.50254196063227,0.898423416626423,0.380198493058316,0.847024354662101,-5.28610679498902
"GDF10",0.383887243925015,6.83878453294151,0.971644777407194,0.342281377978849,0.83750470618746,-5.28640187429588
"CD14",0.609658709336395,7.83506597766375,0.924639579286984,0.366170408528841,0.840553214022608,-5.28685074130074
"RAB23",-0.362536646279698,7.08447336237541,-0.914697747064295,0.371807164530873,0.84599938404086,-5.28717912801209
"PPP1R11",-0.391109987775226,5.53780204075203,-0.868706490051958,0.396436644405554,0.852057774193103,-5.28852099109051
"PPAT",-0.350129005611081,6.08060400745953,-0.725617543005307,0.479234650951205,0.877668719426212,-5.28921724013527
"RRM1",0.372162329596683,5.59212220092378,0.577124948613313,0.57451390721756,0.900874203515297,-5.28989397009402
"CSGALNACT1",0.448076589340474,7.60159516231391,0.967371627400696,0.344362732726608,0.83750470618746,-5.29009875442232
"FBP1",0.534673752344771,6.68170829339216,0.787604198136799,0.441765441855776,0.857662227417305,-5.2921667424986
"HNRNPUL2",0.467455697650916,10.054427945401,0.964633066135664,0.345701170430969,0.83750470618746,-5.29246024108169
"C1QTNF8",0.456520021851887,9.86989817938255,0.963844764162186,0.346087101513488,0.83750470618746,-5.29313887716057
"CTSV",-0.39747248573082,5.48442676912547,-0.819081327294644,0.424067608382457,0.854934279656272,-5.29334882774515
"RTRAF",-0.376195471921321,6.91438426610492,-0.934882029058803,0.360994771402701,0.838375835224851,-5.29340839522699
"SNX17",0.40499292488877,6.93240719336233,0.888284906835701,0.385489192676235,0.849485434844442,-5.29410806654656
"DPH6",0.408220510544285,5.08394963771104,0.634249439218902,0.536137346430141,0.892280304038195,-5.29519027140512
"A0A9L0SX36",0.712111796438578,8.09068907987433,0.959810960952901,0.348066547196243,0.83750470618746,-5.29660364152028
"ERLIN2",-0.353809075085211,7.04884957236852,-0.959647521868822,0.348146911565514,0.83750470618746,-5.29674374696268
"COMMD10",-0.408998365224695,5.82675213195981,-0.958959697319335,0.348485259321852,0.83750470618746,-5.2973331360106
"USP5",-0.359312770030438,7.16800994557737,-0.958490395352709,0.348716242234483,0.83750470618746,-5.29773505558011
"EXOSC10",-0.273979767824566,4.94999611094523,-0.428382983083287,0.675379139688197,0.932848173183756,-5.2980707036112
"RPS7",0.408447208128635,10.8901659903059,0.957965272253207,0.348974823073187,0.83750470618746,-5.29818456993159
"RAB13",-0.273444829154434,7.77031247646366,-0.957933886988631,0.348990281924635,0.83750470618746,-5.29821142917811
