"","c105_old","c111_old","c151_young","c152_young","c154_young","c169_young","c170_young","c171_young","c172_old","c173_old","c175_young","c177_young","c50_old","c54_old","c61_old","c82_old","c83_young","c86_old","c95_old","c96_young"
"PGM2",8.52179580408463,8.5291992660619,8.95258274661619,8.81445894571902,8.66674734684544,8.76314878017696,8.70609766408298,8.39267382604316,8.69946888093662,8.58907952755391,8.47411612746622,8.79363271101242,7.46534943908186,8.79590920945451,8.40710756156895,8.19990350362074,8.65359633315845,8.51492755956692,9.11280931535041,8.77479492884932
"RCC2",6.54917343165087,6.56175008579279,6.2317888527393,6.56350277092374,6.96700192510877,NA,6.41291243323832,7.00654452787682,6.47408872183583,6.98003298257453,5.87905434050782,6.81997346246718,6.4503650846539,6.6866309767821,6.75780345354816,6.17331340662944,7.08733250468249,6.4805668613037,6.55119962203726,6.44872472352282
"SEC63",5.88448269609202,5.7072513502334,6.01493473485063,5.91924510392242,5.94186578852819,NA,NA,NA,5.32411592786751,NA,6.01763683753077,6.25205486292228,NA,5.7817346497073,NA,5.60472581863323,5.1428534698177,NA,NA,5.08101029961761
"EQMCE1",4.75785159491118,5.17764307871319,5.87310939060118,NA,7.00088356560513,5.63099122056572,5.19976347195283,NA,NA,6.21714881264269,NA,7.29831143889987,NA,5.11060427076939,NA,NA,6.04795567473307,5.2671495709882,7.27884368909693,6.02942645518532
"TPM1",9.17501915515638,8.53423560631234,NA,9.62720582154236,8.94398214329241,NA,9.44924650457098,9.07519290864477,8.84879230131237,9.6325643044723,9.19460448316699,9.58800497551199,8.49652882388171,8.94750037081633,8.22629208065085,8.88782171221674,10.1156414384362,9.74378236916774,8.84865534052877,9.39759005455842
"YTHDF3",6.06222997096377,5.00810773633259,5.39387281245571,NA,5.7483756139163,5.7309640075531,5.12896791271597,NA,5.8805435578516,5.27894166470457,NA,5.66391830780361,5.26550417037384,5.70406483371439,4.94820741540149,NA,6.16267844056266,5.84860527224404,NA,NA
"NPW",9.40345191046308,8.20362302739772,6.22725813680283,6.45750540753382,6.88345057167152,NA,5.67758491485579,NA,7.41398876669985,7.66561969075362,NA,7.2955342097171,8.70675442642812,6.60849043237945,NA,8.06061457831437,NA,6.88870383274622,8.19135350792835,8.3188842821817
"TRPV4",9.98516983805009,8.6864672062061,9.25291937800989,9.6231619920695,9.99656078089442,8.48642581650155,9.33097032682004,8.91766996413438,8.50632494228884,8.80734717704057,10.4831777238648,9.03689292223962,7.90590067343311,9.00811908990576,7.7986458377258,9.47807605419133,8.53869909034176,9.35344156638402,8.92429345515419,8.91295513713756
"IMP3",5.59695301483686,6.28243662984687,5.48557137044754,NA,NA,6.58676687436299,5.57559556046171,5.90626159378245,6.57190115897352,5.41230721530103,NA,5.43951325425146,NA,6.09147637690417,NA,5.6746940532158,5.38127015159801,5.37983150012858,5.97598782858864,NA
"PDIA5",8.16532890391958,8.19311434611496,8.24713936432225,8.72106248144151,8.38899868219799,8.59167505701657,8.48135116935725,9.30981215431645,8.53882171707651,8.54444952096582,8.0373875161931,8.56150220815663,9.36570027725265,9.17796623715853,9.6765941260604,8.47289447860126,8.59289872386934,8.33793072073216,8.66418078097046,8.43677592089483
"LGALS3",9.14275454801789,10.5714285510827,10.3238127040273,10.5396400877813,9.35262286749185,9.5039575840812,10.6793815996026,9.84627674228829,10.5597244831869,9.79779023988256,10.3741255787782,9.51565682991514,9.86232140434266,10.310187761105,9.53577602214257,10.1453377901046,8.84611661192601,10.116742723041,10.5276821197662,11.1088340610864
"GSTA4",9.59466783737281,8.24372588738695,10.2615198784123,9.20446772686604,9.0493253361847,9.16535745443488,9.25649729578709,9.85290820667141,9.05870121347659,8.80933239249624,9.7950383625763,9.67829158934032,8.4315052788817,9.2619044355997,9.14504753013378,8.97227403319335,9.65580100598425,9.67390494271274,9.1340835587168,9.37063621177314
"EHD2",11.1312325371936,10.8521709085596,11.5102660319036,11.49126766558,11.4469725197034,10.8507728761111,11.1510604615761,11.4504962983104,11.3081810712065,11.3093887695815,11.6903213070853,11.2852644374919,10.2827621312282,11.2800229180022,11.1809705348336,10.73547666822,11.5737822439459,11.0218766595965,11.6092009616532,11.446114420318
"BOC",7.4551277595667,6.98158800164593,7.91870345006862,6.6005420547304,6.89316815812972,6.71835546085044,7.72487852506813,7.14501549904948,7.30317589602996,7.89914985925298,7.47930590483458,7.49739692000858,NA,6.44722694240509,6.05866241424408,8.25202344485063,6.90956939811771,7.29031136413012,6.83534358359922,7.32836039612312
"GRAMD1B",9.39785961667918,9.07813286387856,8.75595409769582,9.60339285759476,9.42167156794894,NA,10.7161971919186,8.95332090548925,8.83571088764786,10.8150392622868,9.1831661457503,11.52432004152,NA,8.60023615225106,9.35517710494315,8.97809661915895,8.81052442618557,9.26801253652829,10.4675473775597,8.67050657445299
"FBLN1",10.5593917811566,9.35003674831065,9.54384501272795,9.82816178289937,9.19545679378775,8.78872838884593,9.56532280604211,8.65660077189752,9.93713276512284,10.3357202385762,7.81888147579536,11.1206789736112,7.4586725463881,9.05567447641988,10.1398761158056,9.14675268921298,8.96224655066391,9.59860286344524,10.5507155895879,9.17128489451177
"TUBA1A",13.2960406559541,12.6194750949516,13.3241765439627,13.2122406711219,12.7955818394739,12.866334386385,12.7991807781739,12.4656321105086,12.6905579875507,12.5202586494006,13.0024456145795,12.9237504964127,11.7100144563695,12.9572326681994,12.1926464179093,12.7006616871903,13.2825105884146,12.9861595953056,12.6853652432136,12.9852975354414
"UBE2V2",7.81969132394969,8.06601370634257,8.24868778002808,7.37272397423707,7.6287248830691,NA,8.35486225781171,NA,7.71374406428897,8.13024578198668,7.39820895439468,7.84202200846574,7.87302502813743,8.00732651317588,7.53947152892346,8.50800602271419,8.05892471893113,8.32972739284496,NA,8.08132093965462
"NAMPT",7.16207889929205,8.42401525211027,7.71122735397869,8.63155553063333,8.18118686503284,9.31077646577299,8.42156187545816,8.18903106402628,8.71607842028472,9.06948122164728,8.57587614749148,8.89253327824183,7.0827205734944,9.03766777572843,8.66868200361368,9.12751366738144,8.36578147253682,8.15434731313118,9.12553671790191,8.31156963247727
"MSI2",7.30461504537564,7.18528327781219,7.31003870727822,7.01192386408796,6.88864701121182,5.98151668088004,7.65205663935957,6.72828114310837,6.85455445426013,7.28696013830747,7.24431206568965,7.38682743215776,NA,6.68055614596608,5.85732958074178,7.45271591917465,7.23422418585027,7.58410545860527,6.80073566547205,7.08241943239769
"ALYREF",8.30170889014588,7.79768519430304,7.35861422103912,7.97789051737614,8.61035486974398,7.69149342207816,7.64201418302772,8.15910528654612,7.12441618333615,7.72846703408742,7.5795946240253,8.08324116521075,8.29892523191248,7.82842322277024,8.25880583459188,7.66180456746257,8.67395990020722,7.8765862541567,7.48321830400022,8.71850407282485
"PDGFD",8.56141650476307,9.24299069074117,6.17568975695367,NA,NA,NA,7.7022879281265,7.75836129559594,8.70323267813803,8.32141327028667,7.35697900332125,5.91233087982843,4.44062926652694,8.28723551351942,8.71579951688447,8.51228024796372,6.79723525056891,8.56388749483153,9.28652647141594,7.78340101596353
"NADK2",5.82107702572187,5.32083885853999,6.03605857766908,5.94930176552286,5.26481852652006,5.35210015684851,5.88951537234845,5.98823087244005,5.87117190423395,5.37599160187158,5.36940093153902,5.83402712643721,5.42177056571648,5.73043620377545,NA,5.99592424098214,5.84450862904163,4.75117778682783,6.27169677826277,6.04627276762187
